symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.1,0.0,0.1,0.8,52,14,38,0.2692307692307692,0.7429254918382563,-1064.8871884556975,-0.10648871884556975,-0.16444707518700782,0.19007349192518969,
BTC-USD,0.1,0.0,0.0,0.9,64,18,46,0.28125,0.793705010496935,-1088.0818459844377,-0.10880818459844377,-0.1462173557069905,0.21488739879566096,
BTC-USD,0.1,0.0,0.3,0.6,22,8,14,0.36363636363636365,1.0249747410921628,38.8163528825371,0.0038816352882537104,0.015275971051279204,0.09458797169507986,
BTC-USD,0.1,0.0,0.4,0.5,15,6,9,0.4,1.258490244938751,255.43192969604206,0.025543192969604205,0.07051343905572198,0.0638728833281199,
BTC-USD,0.1,0.0,0.5,0.4,9,6,3,0.6666666666666666,3.648414736193507,884.4333301995666,0.08844333301995666,0.24507115022130396,0.021052873341268676,
BTC-USD,0.1,0.1,0.1,0.7,55,15,40,0.2727272727272727,0.7672094600209409,-1005.3944770744929,-0.10053944770744928,-0.14697403740580084,0.16027978752097685,
BTC-USD,0.1,0.0,0.6,0.3,5,4,1,0.8,8.122871573246483,779.7855553141399,0.07797855553141399,0.2568059863616277,0.010947629018653243,
BTC-USD,0.1,0.0,0.7,0.2,5,4,1,0.8,8.122871573246483,779.7855553141399,0.07797855553141399,0.2568059863616277,0.010947629018653243,
BTC-USD,0.1,0.0,0.8,0.1,4,4,0,1.0,0.0,972.7315582279625,0.09727315582279625,0.3208043484749262,0.0,
BTC-USD,0.1,0.1,0.0,0.8,98,35,63,0.35714285714285715,1.166323888718595,1213.514477504712,0.1213514477504712,0.12903782151979382,0.17223538594458304,
BTC-USD,0.1,0.1,0.2,0.6,51,21,30,0.4117647058823529,1.5124201728539448,1737.2890105191746,0.17372890105191746,0.22081529476803963,0.11449841246417429,
BTC-USD,0.1,0.1,0.3,0.5,23,9,14,0.391304347826087,1.2624516357199613,404.5901536396759,0.04045901536396759,0.08966272522729793,0.04519460590956931,
BTC-USD,0.1,0.0,0.9,0.0,3,3,0,1.0,0.0,661.7103856088597,0.06617103856088598,0.27046275389289404,0.0,
BTC-USD,0.1,0.1,0.4,0.4,13,5,8,0.38461538461538464,1.4256589297985551,374.4711366840347,0.03744711366840347,0.10123538851064054,0.032535800294273456,
BTC-USD,0.1,0.1,0.5,0.3,7,5,2,0.7142857142857143,5.373634093236818,1006.069820974677,0.1006069820974677,0.2801704530450452,0.02105287334126842,
BTC-USD,0.1,0.1,0.6,0.2,5,5,0,1.0,0.0,1545.0718237580422,0.15450718237580421,0.3869922390414502,0.0,
BTC-USD,0.1,0.1,0.7,0.1,5,5,0,1.0,0.0,1545.0718237580422,0.15450718237580421,0.3869922390414502,0.0,
BTC-USD,0.1,0.2,0.0,0.7,63,18,45,0.2857142857142857,0.7928530981404628,-1032.9324987081854,-0.10329324987081855,-0.1388911977850891,0.17679819496492008,
BTC-USD,0.1,0.2,0.1,0.6,68,27,41,0.39705882352941174,1.3983217841878341,1895.4129637628375,0.18954129637628375,0.21278962917920205,0.13688798267196506,
BTC-USD,0.1,0.2,0.2,0.5,49,21,28,0.42857142857142855,1.6061552104647463,1952.3429683587183,0.19523429683587182,0.24640392190193378,0.10364810711873945,
BTC-USD,0.1,0.1,0.8,0.0,6,6,0,1.0,0.0,1547.1594205670244,0.15471594205670244,0.3875855261967183,0.0,
BTC-USD,0.1,0.2,0.3,0.4,31,12,19,0.3870967741935484,1.3244864866127832,678.4519187829846,0.06784519187829846,0.12198578397240115,0.07044375032528007,
BTC-USD,0.1,0.2,0.4,0.3,14,7,7,0.5,2.0516232994500005,820.6178336400426,0.08206178336400426,0.19629936050256877,0.021819015343737737,
BTC-USD,0.1,0.2,0.5,0.2,9,5,4,0.5555555555555556,3.3695874406478583,1058.7755339442028,0.10587755339442029,0.26022293346223724,0.02105287334126851,
BTC-USD,0.1,0.2,0.6,0.1,8,4,4,0.5,2.6684858358284385,745.5103582185639,0.07455103582185639,0.20614832474577713,0.02105287334126851,
BTC-USD,0.1,0.3,0.0,0.6,76,30,46,0.39473684210526316,1.4058484665930346,2242.6496330753416,0.22426496330753418,0.23221927757944708,0.10630533802424802,
BTC-USD,0.1,0.3,0.1,0.5,68,28,40,0.4117647058823529,1.4927685192599005,2362.1915481140495,0.23621915481140496,0.2537628586273836,0.10784808035854644,
BTC-USD,0.1,0.2,0.7,0.0,16,9,7,0.5625,2.4956811500711265,1238.6682727864081,0.12386682727864082,0.2641526061443706,0.032401027574767205,
BTC-USD,0.1,0.3,0.2,0.4,56,25,31,0.44642857142857145,1.682956471663015,2506.4935514243134,0.25064935514243136,0.28822208935502813,0.09279880660594908,
BTC-USD,0.1,0.3,0.3,0.3,35,15,20,0.42857142857142855,1.640497070795695,1499.2149601341662,0.14992149601341662,0.2240611245706916,0.06570642609150694,
