symbol,atr_mult,rr_ratio,filter_chop,long_only,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,buy_trades,buy_pnl,sell_trades,sell_pnl,error
DOT-USD,3.0,3.5,True,False,118,36,82,0.3050847457627119,1.1291755321200063,1032.4100918276763,0.10324100918276763,0.09645139558810403,0.1198436112858871,59,261.10346993320337,59,771.3066218944663,
DOT-USD,3.5,3.0,False,False,113,36,77,0.3185840707964602,1.033458380717557,233.06292173435213,0.023306292173435213,0.035114435929797724,0.12106880296468858,58,-539.8731397664591,55,772.9360615008152,
DOT-USD,3.5,2.0,True,False,126,49,77,0.3888888888888889,1.156629309206723,1163.1422538328643,0.11631422538328642,0.1273602983637285,0.09433532058019566,67,591.0448822544884,59,572.0973715783821,
DOT-USD,3.5,3.5,False,False,108,34,74,0.3148148148148148,1.168097718309543,1156.296764823348,0.1156296764823348,0.11174074868154206,0.10202558409483314,55,-50.81527563173283,53,1207.1120404550823,
DOT-USD,3.5,2.5,True,False,116,40,76,0.3448275862068966,1.1148945002188293,837.4235452553203,0.08374235452553203,0.09269330654635204,0.08992821215430616,63,81.185425054243,53,756.2381202010693,
DOT-USD,4.0,2.0,False,False,121,47,74,0.3884297520661157,1.1308298969233181,868.1912427360548,0.08681912427360548,0.1034030948388981,0.10241523895898481,66,172.59420728779756,55,695.5970354482588,
DOT-USD,3.5,3.0,True,False,108,34,74,0.3148148148148148,1.0387684106793387,265.24221875943294,0.026524221875943294,0.03834624070789096,0.10023283736183979,55,-216.54023917388977,53,481.78245793332314,
DOT-USD,4.0,2.5,False,False,111,39,72,0.35135135135135137,1.0678042915219186,427.09060695679364,0.04270906069567936,0.05660702702745532,0.10737283653630847,59,-108.68700947739879,52,535.777616434195,
DOT-USD,3.5,3.5,True,False,101,31,70,0.3069306930693069,1.1369625680742688,893.8999312822634,0.08938999312822635,0.09293474136240268,0.10470306991311094,50,82.58117259682015,51,811.3187586854401,
DOT-USD,4.0,2.0,True,False,112,42,70,0.375,1.0448485484045074,286.49114561922215,0.028649114561922217,0.04359064993997986,0.09665498287147894,60,154.4026191712362,52,132.08852644799322,
DOT-USD,4.0,2.5,True,False,107,36,71,0.3364485981308411,1.0093093330294265,59.9708755813881,0.00599708755813881,0.01796618044395527,0.08581890557421336,55,-25.238063125477755,52,85.2089387068684,
DOT-USD,4.0,3.0,True,False,98,31,67,0.3163265306122449,1.0241599192923363,143.58657229011442,0.014358657229011442,0.026837785130696633,0.10626750024827893,48,-192.9274236202181,50,336.51399591032464,
